"Severity","Category","CheckId","Title","Description","Remediation"
"Pass","Audit","UAC-001","UAC Enabled","User Account Control is enabled.","No action required."
"Pass","Audit","FW-Domain","Firewall Profile: Domain","Firewall profile is enabled.","No action required."
"Pass","Audit","FW-Private","Firewall Profile: Private","Firewall profile is enabled.","No action required."
"Pass","Audit","FW-Public","Firewall Profile: Public","Firewall profile is enabled.","No action required."
"Critical","Audit","DEF-001","Microsoft Defender Protection Disabled","Real-time protection: False; Antivirus enabled: True. At least one core protection feature is off.","Enable real-time protection and ensure Defender (or managed AV) is active. In Group Policy: Computer Configuration > Administrative Templates > Windows Components > Microsoft Defender Antivirus."
"Pass","Audit","RDP-001","Remote Desktop Disabled","Remote Desktop connections are denied by policy (fDenyTSConnections).","No action required for NLA; RDP is off."
"Pass","Audit","SMB-001","SMB1 Protocol Not Enabled","SMB1 optional feature is not enabled (Disabled or Absent).","No action required."
"Pass","Audit","BLK-001","BitLocker Protection","Listed mount point(s) appear protected by BitLocker per policy.bitLocker.mountPoints.","No action required."
"Pass","Audit","WINRM-001","WinRM Service Not Running","WinRM service is stopped (not listening for remote management by default).","No action required unless you intend to enable remote PowerShell/WinRM."
"Pass","Audit","ADM-001","Local Administrators Review","Administrators group contains 2 account(s).","No action required."
"Warning","Audit","NET-PORT-445","High-Risk Port Open: 445","Port 445 is listening on address(es): ::. Process(es): System (PID 4). Primary executable: . Signature: N/A. Merged 1 listener row(s) (e.g. IPv4/IPv6). At least one listener matched policy allowlist.","Restrict access with firewall rules or disable unnecessary service. Verify the owning process and binary signature."
"Info","Audit","NET-PORT-135","High-Risk Port Open: 135","Port 135 is listening on address(es): ::, 0.0.0.0. Process(es): svchost (PID 1500). Primary executable: C:\WINDOWS\system32\svchost.exe. Signature: Valid. Merged 2 listener row(s) (e.g. IPv4/IPv6). At least one listener matched Windows system-binary downgrade rules.","Restrict access with firewall rules or disable unnecessary service. Verify the owning process and binary signature."
"Critical","Audit","NET-PORT-139","High-Risk Port Open: 139","Port 139 is listening on address(es): 192.168.1.18. Process(es): System (PID 4). Primary executable: . Signature: N/A. Merged 1 listener row(s) (e.g. IPv4/IPv6).","Restrict access with firewall rules or disable unnecessary service. Verify the owning process and binary signature."
"Pass","Audit","SRV-001","Auto-Start Services Path Review","No suspicious auto-start service paths detected.","No action required."
"Pass","Hunter","HUNT-STARTUP-001","Startup File Hashing","No executable files found in startup folders.","No action required."
"Critical","Hunter","HUNT-TASK-001","Suspicious Scheduled Tasks Found","3 scheduled task action(s) execute from user-writable paths.

Details:
- \BraveSoftwareUpdateTaskUserS-1-5-21-4235219758-1704497576-1465918199-1001Core{4A8A9D58-0C0B-4984-B576-4190C75A302E} | Run: ""C:\Users\moath\AppData\Local\BraveSoftware\Update\BraveUpdate.exe"" | Args: /c | RunAs: moath
- \BraveSoftwareUpdateTaskUserS-1-5-21-4235219758-1704497576-1465918199-1001UA{2B58177E-B669-4A3E-B5AF-FBB40D37204E} | Run: ""C:\Users\moath\AppData\Local\BraveSoftware\Update\BraveUpdate.exe"" | Args: /ua /installsource scheduler | RunAs: moath
- \ZoomUpdateTaskUser-S-1-5-21-4235219758-1704497576-1465918199-1001 | Run: ""C:\Users\moath\AppData\Roaming\Zoom\bin\Zoom.exe"" | Args: --action=UpdateSchedule | RunAs: moath","Disable unknown tasks and verify binary source/trust. Open Task Scheduler and review the task paths listed above."
"Warning","Hunter","HUNT-RUN-001","Suspicious Run / RunOnce Entries","4 Run/RunOnce value(s) reference suspicious paths.

Details:
- [HKCU\Run] Discord = ""C:\Users\moath\AppData\Local\Discord\Update.exe"" --processStart Discord.exe
- [HKCU\Run] BraveSoftware Update = ""C:\Users\moath\AppData\Local\BraveSoftware\Update\1.3.361.151\BraveUpdateCore.exe""
- [HKCU\Run] CiscoMeetingDaemon = ""C:\Users\moath\AppData\Local\WebEx\WebexHost.exe"" /daemon /runFrom=autorun
- [HKCU\Run] Teams = ""C:\Users\moath\AppData\Local\Microsoft\WindowsApps\MSTeams_8wekyb3d8bbwe\ms-teams.exe"" msteams:system-initiated","Remove unknown persistence from registry Run keys or validate binaries. Compare with autoruns baselines."
"Pass","Hunter","HUNT-WMI-001","WMI Event Subscription Consumers","No WMI event consumers in root\subscription reference suspicious user/temp paths.","No action required."
"Info","Hunter","HUNT-CONN-001","Active Network Connections Snapshot","Captured a snapshot of active TCP connections (limited to 500 rows). Established sessions to non-local addresses: 44","Review unknown remote endpoints and investigate corresponding process IDs."
